air_date,season,episode_overall,episode_in_season,song,original_artist,genre,original_release_year,years_since_release,performed_by,is_cameo,duet_with,version_covered,rerun,video_id,video_url,video_source,video_title,video_views,video_seconds
2020-10-16,2,200,20,Bulletproof,La Roux,Pop,2009,11,Kelly Clarkson,no,,,no,oLTomlszSPA,https://www.youtube.com/watch?v=oLTomlszSPA,KC Videos archive,Kellyoke | Bulletproof (La Roux),30000,100
2020-10-19,2,201,21,I'm Sorry,Blake Shelton,Country,,,Kelly Clarkson,no,,,no,S3Or_v5uOr0,https://www.youtube.com/watch?v=S3Or_v5uOr0,KC Videos archive,Kellyoke | I'm Sorry (Blake Shelton),52000,115
2020-10-20,2,202,22,Don't Know Why,Norah Jones,Pop,2002,18,Kelly Clarkson,no,,,no,AJfzvLsCE2k,https://www.youtube.com/watch?v=AJfzvLsCE2k,KC Videos archive,Kellyoke | Don't Know Why (Norah Jones),13000,112
2020-10-21,2,203,23,Torn,Natalie Imbruglia,Rock,1995,25,Kelly Clarkson,no,,,no,9BHJC5Q9VxI,https://www.youtube.com/watch?v=9BHJC5Q9VxI,KC Videos archive,Kellyoke | Torn (Natalie Imbruglia),349000,100
2020-10-22,2,204,24,"Heads Carolina, Tails California",Jo Dee Messina,Country,1996,24,Kelly Clarkson,no,,,no,fyIv0tqiLHM,https://www.youtube.com/watch?v=fyIv0tqiLHM,KC Videos archive,"Kellyoke | Heads Carolina, Tails California (Jo Dee Messina)",87000,110
2020-10-23,2,205,25,Watermelon Sugar,Harry Styles,Rock,2019,1,Kelly Clarkson,no,,,no,7BkVd12PJ8o,https://www.youtube.com/watch?v=7BkVd12PJ8o,KC Videos archive,Kellyoke | Watermelon Sugar (Harry Styles),58000,97
2020-10-26,2,206,26,Cryin',Aerosmith,Metal,1993,27,Kelly Clarkson,no,,,no,fAx-ZV3E-HE,https://www.youtube.com/watch?v=fAx-ZV3E-HE,KC Videos archive,Kellyoke | Cryin' (Aerosmith),270000,96
2020-10-27,2,207,27,Whataya Want From Me,Adam Lambert,Rock,2009,11,Kelly Clarkson,no,,,no,4y6o5bAMxq0,https://www.youtube.com/watch?v=4y6o5bAMxq0,KC Videos archive,Kellyoke | Whataya Want From Me (Adam Lambert),434000,103
2020-10-28,2,208,28,Don't Take the Money,Bleachers,Pop,2017,3,Kelly Clarkson,no,,,no,wm0kdG-twZE,https://www.youtube.com/watch?v=wm0kdG-twZE,KC Videos archive,Kellyoke | Don't Take the Money (Bleachers),38000,95
2020-10-29,2,209,29,What's Up?,4 Non Blondes,Rock,1993,27,Kelly Clarkson,no,,,no,zBFot4Lck-s,https://www.youtube.com/watch?v=zBFot4Lck-s,KC Videos archive,Kellyoke | What's Up (4 Non Blondes),377000,107
2020-10-30,2,210,30,Stayin' Alive,Bee Gees,Electronic,1977,43,Kelly Clarkson,no,,,no,EPO9djUtLto,https://www.youtube.com/watch?v=EPO9djUtLto,KC Videos archive,Kellyoke | Stayin' Alive (Bee Gees),43000,118
2020-11-02,2,211,31,It's My Life,Bon Jovi,Rock,2000,20,Kelly Clarkson,no,,,no,cJlX7yHZiXY,https://www.youtube.com/watch?v=cJlX7yHZiXY,KC Videos archive,Kellyoke | It's My Life (Bon Jovi),501000,98
2020-11-03,2,212,32,Mr. Brightside,The Killers,Rock,2003,17,Kelly Clarkson,no,,,no,zU1uiTZdw8A,https://www.youtube.com/watch?v=zU1uiTZdw8A,KC Videos archive,Kellyoke | Mr. Brightside (The Killers),291000,96
